,Unnamed: 0,company_name,rate,city,state,remote_work,job_title,salary,salary_estimate,salary_avg,company_size,company_type,company_sector,company_founded,company_industry,descriptions_txt,descriptions_list,job_age,pros,cons
10,10,Consumerdirect,-1.0,Irvine,CA,False,Data Engineer,$90K - $170K,Employer Provided Salary,"$130,000 /yr (est.)",-1,,,,,"['***This position is for in-office candidates only, no remote candidates will be considered', 'ConsumerDirect, Inc is a SaaS company located in Irvine, CA comprised of fun and creative people building unique and patented technologies for the consumer money, credit & identity space. The company was founded in 2003 with the vision that technology should allow consumers to interact with their banks, creditors and other institutions using a simple button, and we’ve done just that.', 'We are building technology that is disrupting the industry and we’re growing very rapidly, so we are looking for a talented Data Engineer to join our team.', 'As a Data Engineer in our IT department at ConsumerDirect’s Irvine office, you will work in small teams to design and build and maintain innovative data and analytics solutions leveraging Amazon Web Services, cloud data warehouses like Snowflake, and other related technologies like Segment and MySQL. In addition to building the next generation of data platforms, you will be working with a forward-thinking organization in data and analytics.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",1d,[],[]
11,11,Indeed,4.3,,,True,"Director, Data Science- SMB Labs",$214K - $310K,Employer Provided Salary,"$262,000 /yr (est.)",10000+ Employees,Company - Private,Information Technology,2004,Internet,"['', 'We are seeking a Director of Data Science in the Small Medium Business (SMB) Labs group. In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to get things done. You will work with counterparts in the Product & Engineering organizations to set direction and ensure that these solutions have a measurable impact for clients. You will drive multiple critical work streams and drive the culture of scientific curiosity with guided autonomy.', 'The SMB Labs organization builds solutions and services that help Small and Medium Businesses get the most value when they post their jobs on Indeed.com. SMB Labs drives multiple critical tier 1 initiatives within the organization.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '']",30d+,"['""Good work/life balance"" (in 8 reviews)', '""amazing culture"" (in 8 reviews)', '""Pay is fair and clear, benefits are solid, and working hours are reasonable and clearly communicated."" (in 9 reviews)', '""Benefits are considerable"" (in 5 reviews)', '""Remuneration, Flexibility, Learning, Good colleagues"" (in 4 reviews)']","['""lower pay"" (in 9 reviews)']"
12,12,Oscar Health,-1.0,,,True,Operations Engineer II,$135K - $165K,Employer Provided Salary,"$150,000 /yr (est.)",1001 to 5000 Employees,Company - Public,Insurance,2012,Insurance Agencies & Brokerages,"[""Hi, we're Oscar. We're hiring an Operations Engineer to join our Insurance Operations team."", ""Oscar is the first health insurance company built around a full stack technology platform and a focus on serving our members. We started Oscar in 2012 to create the kind of health insurance company we would want for ourselves—one that behaves like a doctor in the family.\nAbout the role\nYou will design, develops/builds, tests and implement data and technical solutions with a focus on creating efficiency and scale through technology and automation of Oscar's infrastructure and underlying logic for core insurance functions. You will Understand Oscar's infrastructure, underlying logic, and data models, and works to work on requirements/rules that support our needs. You will Identify opportunities for technology enablement, apply technical expertise to design, and implementation of solutions to address operational challenges across the core insurance functions."", 'You will report to the Director. Insurance Operations.', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",13d,"['""There\'s also a big culture of writing out internal posts to share tech information to better the whole company."" (in 6 reviews)', '""Great people and team"" (in 8 reviews)', '""The pay is the best on the market especially considering they\'re about to IPO in 2021."" (in 6 reviews)', '""Work life balance is good"" (in 4 reviews)', '""Management is especially extremely easy to work with."" (in 5 reviews)']","['""Not an engineering first culture (right now...used to be more so)"" (in 6 reviews)', '""Pay is lower than industry average and it shows."" (in 6 reviews)', '""Very bad work life balance"" (in 4 reviews)', '""The employees (re: not management) will make you feel bad if you\'re unvaccinated (this might be a pro for some people)"" (in 5 reviews)']"
13,13,Liberty Mutual Insurance,3.8,,,True,"Analyst I/II, Data Science (remote)",$85K - $139K,Employer Provided Salary,"$112,000 /yr (est.)",10000+ Employees,Company - Private,Insurance,1912,Insurance Carriers,"['', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '']",30d+,"['""Flexibility and good work life balance"" (in 34 reviews)', '""good benefits"" (in 16 reviews)', '""2. Pay is good"" (in 15 reviews)', '""Flexible work environment, laid back culture, intelligent people at every turn."" (in 19 reviews)', '""care very much about employees"" (in 17 reviews)']","['""Not much if you like great work life balance"" (in 34 reviews)', '""Pay could be better for role"" (in 15 reviews)', '""Slow Political cronyism cafeteria bad culture"" (in 19 reviews)']"
14,14,SOS Trabajo,-1.0,San Juan,PR,False,Data Scientist,$70K - $80K,Employer Provided Salary,"$75,000 /yr (est.)",-1,,,,,"['General Description for Data Scientist:', 'Responsibilities:', '', '', '', '', '', '', '', '']","['We are looking for a developer data scientist to support in identifying, designing and implementing data science & artificial intelligence solutions.', 'The ideal candidate should have exceptional skills in programming machine learning models, as well as knowledge of data science, statistics, machine learning algorithms, and software engineering.', 'Assess machine learning development techniques & algorithms to incorporate into model development cycle', 'Use software engineering best practices for the full development life cycle of Machine Learning models, including coding standards, code reviews, version control management, testing, deployment, and monitoring', '', '', '', '', '', '', '', '', '', '', '']",28d,[],[]
15,15,Mayo Clinic,4.1,Waltham,MN,False,Senior Data Science Analyst - Center for Digital Health - Remote,,,-1,10000+ Employees,Health Care Services & Hospitals,$10+ billion (USD),Nonprofit Organization,Health Care,"['No\n\nInternational Assignment\nNo\n\nSite description\nMayo Clinic is located in the heart of downtown Rochester, Minnesota, a vibrant, friendly city that provides a highly livable environment for more than 34,000 Mayo staff and students. The city is consistently ranked among the best places to live in the United States because of its affordable cost of living, healthy lifestyle, excellent school systems and exceptionally high quality of life.\n\nRecruiter\nLaura Percival\n\n\nAs an Affirmative Action and Equal Opportunity Employer Mayo Clinic is committed to creating an inclusive environment that values the diversity of its employees and does not discriminate against any employee or candidate. Women, minorities, veterans, people from the LGBTQ communities and people with disabilities are strongly encouraged to apply to join our teams. Reasonable accommodations to access job openings or to apply for a job are available.']",[],30d+,"['""Good benefits and PTO."" (in 48 reviews)', '""Good pay"" (in 36 reviews)', '""The company is great for people who want to join the workforce and be paid well!"" (in 33 reviews)', '""Good leadership, collegial environment where people work together and not against each other."" (in 10 reviews)']","['""Benefits were aligned across MN, AZ, and FL resulting in an overall reduction in what were once excellent benefits."" (in 48 reviews)', '""Low pay compared to market."" (in 36 reviews)', '""people are rude, backstabbing, unfriendly, probably the most toxic bizarre workplace ever experienced"" (in 33 reviews)', '""Several opportunities made management desperate thus incompetent employees end up taking charge on all levels."" (in 16 reviews)', '""Research leadership does not care for the well being of junior scientists."" (in 10 reviews)']"
16,16,"O'Neil Global Advisors, Inc.",-1.0,Austin,TX,False,Data Scientist I - 637,,,-1,-1,,,,,"['This job is remote!', ""O'Neil Global Advisors (OGA) is an investment advisor that builds algorithmic strategies based on proprietary quantitative factor research pioneered by investing legend William J. O'Neil. Bill's methodology has achieved consistent success over more than five decades, and OGA's strategies provide our clients with an exclusive way to capture the success of his powerful and disciplined approached to investing.We develop strategies that are inspired by Bill's disciplined quantitative approach and incorporate his desire for constant improvement through ongoing backtesting."", '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",20d,[],[]
17,17,Metropolitan Atlanta Rapid Transit Authority (MARTA),2.9,Atlanta,GA,False,Sr. Performance Analyst-Data Science,$61K - $76K,Employer Provided Salary,"$68,376 /yr (est.)",1001 to 5000 Employees,Transportation Management,$100 to $500 million (USD),Company - Private,Transportation & Logistics,"['Qualifications', '*EDUCATION and/or EXPERIENCE\n*', 'Bachelor’s degree in Business Administration, Data Science, Business Analytics, Mathematics or related field is required. A master’s degree or doctorate degree is highly desired. Six years of progressively responsible experience working in a statistically oriented research field, such as survey research, database analysis or actuarial research. Experience should include creating and optimizing business intelligence datasets and dashboards, quantitative analysis, operations, project management or related fields. Extensive knowledge and application of data analysis software (e.g. R. Stata), data visualization software (e.g. SQL, R, Python, etc.) and conducting advanced data analytics (e.g. Multivariate statistics, network and cluster analysis, forecasting, machine learning and pattern matching). Must be able to work independently and collectively as a team. Excellent written and verbal communication skills required. Experience working in a public or transit environment is desired. Directly related work experience may be substituted on a year-for-year basis in-lieu of educational requirement.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",16d,"['""Good atmosphere, responsive management, great vacation,"" (in 1 reviews)', '""Have a okay work/ life balance"" (in 1 reviews)']","['""time vacations, small insurance, professional development at your own expense"" (in 1 reviews)', '""Needs a better pay scale."" (in 1 reviews)']"
18,18,HP,4.2,San Diego,CA,False,Big Data Engineer,$75K - $142K,Glassdoor,"$103,171 /yr (est.)",10000+ Employees,Company - Public,Information Technology,1939,Computer Hardware & Software,"['DataOS is both an organization in Print Software and a big data platform. We are strategically aligned with the HP data strategy to enable and accelerate efficient delivery of business value from big data. Our platform provides the technology enablers, building blocks, operations, and data-as-a-service that power analytic insights across the Print business. We are the System of Record for Print product data, enable combining product and HP Business data, and are leading the evolution of big data technology.', '', 'We are looking for a Software Developer/Data Engineer to join our Big Data development team. If you are passionate about data and technology, we are eager to talk to you. The ideal candidate has both a willingness and desire to work in a dynamic environment, is able to apply Agile methodologies in day to day activities, and is a self-motivated developer who also enjoys working in a team environment. Our team is focused on establishing new cloud based data communication, archival, analysis, and reporting solutions for our consumer and commercial printing business units. Our people have a creative, innovative, fun, and collaborative attitude, and are dedicated to creating new and valuable solutions for HP.', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",5d,"['""Working hours are good to maintain a work life balance"" (in 166 reviews)', '""Was able to meet some nice people and build some connections"" (in 116 reviews)', '""Good salaries"" (in 154 reviews)', '""Good culture work in hp."" (in 125 reviews)', '""Great management"" (in 72 reviews)']","['""work life balance is not good"" (in 166 reviews)', '""People are friendly"" (in 116 reviews)', '""Low salary compared to other competitors"" (in 154 reviews)', '""corporate culture"" (in 125 reviews)', '""High management almost don\'t interact with employees"" (in 72 reviews)']"
19,19,ProDigitalWorx,-1.0,Plano,TX,False,Sr. Data Scientist,$55 - $100 Per Hour,Employer Provided Salary,-1,-1,,,,,"['Lucrative assignment with a leading automotive organization.', 'Do YOU have a passion for working with Data? Do you love working in machine learning, real-time analytics, or Big Data? Interested in learning and utilizing different technologies without limitation? We are looking for a Data Expert that will help our clients evaluate and implement big data and advanced analytics solutions in the Cloud. We are passionate about data, problem solving and driving value to make a difference with our clients.', ""Evaluate and analyze the automotive marketplace to identify risks and opportunities for clients\nPresent team members and clients with analysis supporting decisions related to sales, pricing, and marketing strategy\nProactively assist in determining client needs and help develop new analytical solutions to satisfy those needs\nDevelop and implement statistical predictive models to help solve various big data problems\nDevelop and implement optimization models to address business-related challenges\nKnowledge in a variety of non-SQL big data open source products such as Spark, EMR/Hadoop etc.\nProgramming experience, ideally in Python, Scala, Java or R, but we are open to other experience if you're willing to learn the languages we use\nKnowledge of natural language processing is a plus\nAbility to operate in an agile, entrepreneurial start-up environment\nExcellent teamwork skills with an ability to reach out and use team strengths to get the work done with minimal supervision\nGood communication skills\nYou must be motivated, driven, and passionate about programming and technology"", '', '', '', '', '', '', '']","['', '', '', '']",24h,[],[]
20,20,Betacom,3.4,Bellevue,WA,False,Data Scientist,$92K - $149K,Glassdoor,"$117,335 /yr (est.)",201 to 500 Employees,Company - Private,Telecommunications,1991,Telecommunications Services,"['OVERVIEW:', 'Data Scientist of AIOps is responsible for building some of the foundational ML models that drive our business. We’re looking for a Data Scientist to delve into business processes and identify key drivers at each step of the journey.', '', '', '', '', '', '', '']","['Combine your knowledge of several mathematical and statistical domains to help inform decisions for Betacom’s business', 'Prepare, extract, manipulate and transform structured and unstructured data from many disparate data sources using Python, SQL, and other programmatic tools', 'Perform exploratory data analysis on complex data sets to gain a deeper understanding of Betacom’s API usage and developer journey', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",30d+,"['""Decent benefits."" (in 3 reviews)', '""They really care about employees."" (in 2 reviews)']","['""Poor communication from upper management to the point that every project breaks down and fails."" (in 3 reviews)', '""9 years of working your butt off gets you nothing but a paycut of $30k a year or laid off."" (in 3 reviews)', '""The pay is not that good and it is not competitive compare to other CMPM Roles"" (in 2 reviews)']"
21,21,DecisionLogic,3.1,San Diego,CA,False,Data Engineer,$90K - $120K,Employer Provided Salary,"$105,000 /yr (est.)",1 to 50 Employees,Company - Private,Information Technology,2005,IT Services,"['Company Overview:', 'Headquartered in San Diego, DecisionLogic is a leading FinTech company providing a suite of integrated financial asset verification and credit scoring solutions across major financing verticals. In the last ten years, our SaaS platform has served more than fifty million consumers and over two thousand clients around the world. We are currently expanding into a wide variety of new markets with an aggressive growth plan that includes exciting new product development and feature releases. We are proud to offer the opportunity to join a dynamic team and company that is stable and growing.', 'Summary:', 'We are currently seeking a talented Senior Data Engineer for the San Diego Headquarters.', 'The candidate selected for this position will collaborate and support all departments across the company, from Product to Marketing, Technology to Support. They will work with existing and new technologies as we undergo a period of optimization of existing services, and design and build new solutions that rely on advanced database technologies, including machine learning.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",11d,"['""Care about employees"" (in 2 reviews)', '""I love being a part of this high tech, innovative company!"" (in 2 reviews)']","['""There are some growing pains, and we sometimes have to wear multiple hats, but everyone is always ready to help each other out."" (in 2 reviews)']"
